Name,Release Year,Genre,Director
The Shawshank Redemption,1994,"Drama, Crime",Frank Darabont
Inception,2010,"Sci-Fi, Thriller",Christopher Nolan
Titanic,1997,"Romance, Drama",James Cameron
The Dark Knight,2008,"Action, Crime",Christopher Nolan
Forrest Gump,1994,"Drama, Romance",Robert Zemeckis
Avengers: Endgame,2019,"Superhero, Action",Anthony & Joe Russo
Parasite,2019,"Thriller, Drama",Bong Joon-ho
Interstellar,2014,"Sci-Fi, Adventure",Christopher Nolan
Gladiator,2000,"Action, Drama",Ridley Scott
Slumdog Millionaire,2008,"Drama, Romance",Danny Boyle
